date,channel,spend_cents
2025-08-31,Social,1144986
2025-08-31,Email,160354
2025-08-31,Partners,341922
2025-09-01,Search,1307946
2025-09-01,Social,930709
2025-09-01,Email,127697
2025-09-01,Partners,380246
2025-09-02,Search,893111
2025-09-02,Social,1332899
2025-09-02,Email,187147
2025-09-02,Partners,298399
2025-09-03,Search,1158667
2025-09-03,Social,1526115
2025-09-03,Email,216551
2025-09-03,Partners,451746
2025-09-04,Search,1143144
2025-09-04,Social,1358822
2025-09-04,Email,149332
2025-09-04,Partners,412935
2025-09-05,Search,1321701
2025-09-05,Social,1419116
2025-09-05,Email,208773
2025-09-05,Partners,386703
2025-09-06,Search,1494978
2025-09-06,Social,1193192
2025-09-06,Email,143076
2025-09-06,Partners,391572
2025-09-07,Search,886294
2025-09-07,Social,1153393
2025-09-07,Email,185536
2025-09-07,Partners,333425
2025-09-08,Search,1293665
2025-09-08,Social,1211432
2025-09-08,Email,154381
2025-09-08,Partners,313726
2025-09-09,Search,1206843
2025-09-09,Social,1699421
2025-09-09,Email,188892
2025-09-09,Partners,416155
2025-09-10,Search,1301598
2025-09-10,Social,1081073
2025-09-10,Email,177420
2025-09-10,Partners,291582
2025-09-11,Search,1015706
2025-09-11,Social,925417
2025-09-11,Email,149348
2025-09-11,Partners,461967
2025-09-12,Search,1388295
2025-09-12,Social,1566202
2025-09-12,Email,166808
2025-09-12,Partners,348905
2025-09-13,Search,868301
2025-09-13,Social,1077126
2025-09-13,Email,184949
2025-09-13,Partners,461934
2025-09-14,Search,1460205
2025-09-14,Social,1220340
2025-09-14,Email,127395
2025-09-14,Partners,357023
2025-09-15,Search,1164258
2025-09-15,Social,1152456
2025-09-15,Email,173029
2025-09-15,Partners,442692
2025-09-16,Search,1210531
2025-09-16,Social,1192967
2025-09-16,Email,162151
2025-09-16,Partners,380216
2025-09-17,Search,1486713
2025-09-17,Social,1438997
2025-09-17,Email,143653
2025-09-17,Partners,402943
2025-09-18,Search,1254476
2025-09-18,Social,1132737
2025-09-18,Email,135254
2025-09-18,Partners,382917
2025-09-19,Search,810102
2025-09-19,Social,1559101
2025-09-19,Email,180086
2025-09-19,Partners,325247
2025-09-20,Search,1143276
2025-09-20,Social,1210788
2025-09-20,Email,212164
2025-09-20,Partners,467162
2025-09-21,Search,873035
2025-09-21,Social,1206111
2025-09-21,Email,129768
2025-09-21,Partners,384433
2025-09-22,Search,959171
2025-09-22,Social,1555101
2025-09-22,Email,138766
2025-09-22,Partners,357239
2025-09-23,Search,1217446
2025-09-23,Social,1379429
2025-09-23,Email,158096
2025-09-23,Partners,326911
2025-09-24,Search,1400141
2025-09-24,Social,1462283
2025-09-24,Email,143152
2025-09-24,Partners,341770
2025-09-25,Search,801967
2025-09-25,Social,1351635
2025-09-25,Email,191711
2025-09-25,Partners,335485
2025-09-26,Search,842332
2025-09-26,Social,1598011
2025-09-26,Email,159764
2025-09-26,Partners,443859
2025-09-27,Search,945168
2025-09-27,Social,1428914
2025-09-27,Email,133272
2025-09-27,Partners,333300
2025-09-28,Search,1470706
2025-09-28,Social,1057557
2025-09-28,Email,163083
2025-09-28,Partners,426745
2025-09-29,Search,1293621
2025-09-29,Social,1569164
2025-09-29,Email,224263
2025-09-29,Partners,427876
2025-09-30,Search,1350574
2025-09-30,Social,947260
2025-09-30,Email,203346
2025-09-30,Partners,400133
2025-10-01,Search,982460
2025-10-01,Social,945092
2025-10-01,Email,201827
2025-10-01,Partners,329211
2025-10-02,Search,1154038
2025-10-02,Social,1523954
2025-10-02,Email,204365
2025-10-02,Partners,368811
2025-10-03,Search,880109
2025-10-03,Social,1243939
2025-10-03,Email,175283
2025-10-03,Partners,289545
2025-10-04,Search,1205714
2025-10-04,Social,1607611
2025-10-04,Email,201146
2025-10-04,Partners,468074
2025-10-05,Search,968556
2025-10-05,Social,963412
2025-10-05,Email,185561
2025-10-05,Partners,422502
2025-10-06,Search,961424
2025-10-06,Social,1116728
2025-10-06,Email,223423
2025-10-06,Partners,423103
2025-10-07,Search,1311615
2025-10-07,Social,1486813
2025-10-07,Email,123390
2025-10-07,Partners,464155
2025-10-08,Search,907437
2025-10-08,Social,1659455
2025-10-08,Email,208394
2025-10-08,Partners,288704
2025-10-09,Search,1439036
2025-10-09,Social,1512820
2025-10-09,Email,217831
2025-10-09,Partners,469180
2025-10-10,Search,1151735
2025-10-10,Social,1592698
2025-10-10,Email,168914
2025-10-10,Partners,427001
2025-10-11,Search,1088888
2025-10-11,Social,1112510
2025-10-11,Email,226319
2025-10-11,Partners,384628
2025-10-12,Search,1011010
2025-10-12,Social,1507735
2025-10-12,Email,123377
2025-10-12,Partners,368136
2025-10-13,Search,864659
2025-10-13,Social,1464711
2025-10-13,Email,182212
2025-10-13,Partners,284567
2025-10-14,Search,1035817
2025-10-14,Social,1415306
2025-10-14,Email,208784
2025-10-14,Partners,337759
2025-10-15,Search,1489650
2025-10-15,Social,1013839
2025-10-15,Email,223022
2025-10-15,Partners,361317
2025-10-16,Search,800669
2025-10-16,Social,1152390
2025-10-16,Email,151465
2025-10-16,Partners,289117
2025-10-17,Search,854958
2025-10-17,Social,1470605
2025-10-17,Email,153344
2025-10-17,Partners,462635
2025-10-18,Search,1040947
2025-10-18,Social,980816
2025-10-18,Email,136345
2025-10-18,Partners,290869
2025-10-19,Search,1335489
2025-10-19,Social,1250428
2025-10-19,Email,169625
2025-10-19,Partners,400510
2025-10-20,Search,1228686
2025-10-20,Social,1135813
2025-10-20,Email,168627
2025-10-20,Partners,467686
2025-10-21,Search,1424841
2025-10-21,Social,1502349
2025-10-21,Email,225174
2025-10-21,Partners,285141
2025-10-22,Search,1182615
2025-10-22,Social,1243612
2025-10-22,Email,165402
2025-10-22,Partners,403168
2025-10-23,Search,933897
2025-10-23,Social,1075442
2025-10-23,Email,139298
2025-10-23,Partners,300261
2025-10-24,Search,819570
2025-10-24,Social,1390748
2025-10-24,Email,149453
2025-10-24,Partners,431742
2025-10-25,Search,1175271
2025-10-25,Social,1056520
2025-10-25,Email,145431
2025-10-25,Partners,407423
2025-10-26,Search,917701
2025-10-26,Social,1151003
2025-10-26,Email,138391
2025-10-26,Partners,402392
2025-10-27,Search,1465970
2025-10-27,Social,1131640
2025-10-27,Email,178073
2025-10-27,Partners,433534
2025-10-28,Search,1439758
2025-10-28,Social,1234141
2025-10-28,Email,125077
2025-10-28,Partners,385727
2025-10-29,Search,862125
2025-10-29,Social,1610759
2025-10-29,Email,184853
2025-10-29,Partners,405348
2025-10-30,Search,1141670
2025-10-30,Social,1093024
2025-10-30,Email,131947
2025-10-30,Partners,376875
2025-10-31,Search,858814
2025-10-31,Social,1440430
2025-10-31,Email,189098
2025-10-31,Partners,399210
2025-11-01,Search,1424581
2025-11-01,Social,983289
2025-11-01,Email,131827
2025-11-01,Partners,468899
2025-11-02,Search,883550
2025-11-02,Social,1099205
2025-11-02,Email,140792
2025-11-02,Partners,334349
2025-11-03,Search,1157207
2025-11-03,Social,1360782
2025-11-03,Email,197382
2025-11-03,Partners,394475
2025-11-04,Search,1376833
2025-11-04,Social,1400882
2025-11-04,Email,207148
2025-11-04,Partners,469765
2025-11-05,Search,1467373
2025-11-05,Social,1289635
2025-11-05,Email,203917
2025-11-05,Partners,360387
2025-11-06,Search,1115439
2025-11-06,Social,1119086
2025-11-06,Email,158247
2025-11-06,Partners,346587
2025-11-07,Search,841815
2025-11-07,Social,1560599
2025-11-07,Email,205035
2025-11-07,Partners,444791
2025-11-08,Search,1493756
2025-11-08,Social,928255
2025-11-08,Email,217826
2025-11-08,Partners,318158
2025-11-09,Search,1388117
2025-11-09,Social,1326457
2025-11-09,Email,211455
2025-11-09,Partners,393935
2025-11-10,Search,1044822
2025-11-10,Social,1352867
2025-11-10,Email,186990
2025-11-10,Partners,392437
2025-11-11,Search,1369676
2025-11-11,Social,1312395
2025-11-11,Email,192924
2025-11-11,Partners,280329
2025-11-12,Search,1371853
2025-11-12,Social,1113876
2025-11-12,Email,178769
2025-11-12,Partners,362561
2025-11-13,Search,1223369
2025-11-13,Social,1149996
2025-11-13,Email,174632
2025-11-13,Partners,328644
2025-11-14,Search,1390935
2025-11-14,Social,1598374
2025-11-14,Email,199085
2025-11-14,Partners,432348
2025-11-15,Search,823703
2025-11-15,Social,1016560
2025-11-15,Email,176848
2025-11-15,Partners,344088
2025-11-16,Search,1290718
2025-11-16,Social,1451554
2025-11-16,Email,133600
2025-11-16,Partners,440665
2025-11-17,Search,1302089
2025-11-17,Social,1049031
2025-11-17,Email,139768
2025-11-17,Partners,376581
2025-11-18,Search,1349566
2025-11-18,Social,1155361
2025-11-18,Email,179408
2025-11-18,Partners,383956
2025-11-19,Search,816452
2025-11-19,Social,1547467
2025-11-19,Email,153765
2025-11-19,Partners,281186
2025-11-20,Search,952580
2025-11-20,Social,1375294
2025-11-20,Email,125399
2025-11-20,Partners,406772
2025-11-21,Search,1036234
2025-11-21,Social,1108751
2025-11-21,Email,130211
2025-11-21,Partners,387962
2025-11-22,Search,961466
2025-11-22,Social,1673653
2025-11-22,Email,223960
2025-11-22,Partners,281627
2025-11-23,Search,964608
2025-11-23,Social,907286
2025-11-23,Email,223929
2025-11-23,Partners,330703
2025-11-24,Search,1396681
2025-11-24,Social,1336337
2025-11-24,Email,155359
2025-11-24,Partners,344832
2025-11-25,Search,1274321
2025-11-25,Social,1516594
2025-11-25,Email,191052
2025-11-25,Partners,393566
2025-11-26,Search,1395393
2025-11-26,Social,1306983
2025-11-26,Email,143550
2025-11-26,Partners,413601
2025-11-27,Search,960123
2025-11-27,Social,1678854
2025-11-27,Email,169643
2025-11-27,Partners,356087
2025-11-28,Search,1342862
2025-11-28,Social,1678741
2025-11-28,Email,223609
2025-11-28,Partners,288793
2025-11-29,Search,1326883
2025-11-29,Social,1445814
2025-11-29,Email,143168
2025-11-29,Partners,425347
2025-11-30,Search,1434024
2025-11-30,Social,1302531
2025-11-30,Email,131091
2025-11-30,Partners,421179
2025-12-01,Search,1429886
2025-12-01,Social,1129054
2025-12-01,Email,194417
2025-12-01,Partners,281195
2025-12-02,Search,1336232
2025-12-02,Social,1454025
2025-12-02,Email,144279
2025-12-02,Partners,303846
2025-12-03,Search,1310444
2025-12-03,Social,1097424
2025-12-03,Email,201613
2025-12-03,Partners,401541
2025-12-04,Search,890520
2025-12-04,Social,973664
2025-12-04,Email,225868
2025-12-04,Partners,300025
2025-12-05,Search,1431296
2025-12-05,Social,1536080
2025-12-05,Email,219344
2025-12-05,Partners,383016
2025-12-06,Search,1384352
2025-12-06,Social,931285
2025-12-06,Email,223241
2025-12-06,Partners,406024
2025-12-07,Search,1199520
2025-12-07,Social,1160302
2025-12-07,Email,172935
2025-12-07,Partners,295520
2025-12-08,Search,1276037
2025-12-08,Social,1068707
2025-12-08,Email,215473
2025-12-08,Partners,352109
2025-12-09,Search,886763
2025-12-09,Social,1366409
2025-12-09,Email,171627
2025-12-09,Partners,305920
2025-12-10,Search,813566
2025-12-10,Social,1681626
2025-12-10,Email,173448
2025-12-10,Partners,450970
2025-12-11,Search,909570
2025-12-11,Social,1644416
2025-12-11,Email,159103
2025-12-11,Partners,347682
2025-12-12,Search,1090857
2025-12-12,Social,1404162
2025-12-12,Email,138514
2025-12-12,Partners,356395
2025-12-13,Search,1450436
2025-12-13,Social,991315
2025-12-13,Email,223665
2025-12-13,Partners,316107
2025-12-14,Search,877207
2025-12-14,Social,1357553
2025-12-14,Email,128988
2025-12-14,Partners,312196
2025-12-15,Search,1385356
2025-12-15,Social,1280734
2025-12-15,Email,127349
2025-12-15,Partners,316767
2025-12-16,Search,1188530
2025-12-16,Social,1011761
2025-12-16,Email,169536
2025-12-16,Partners,465528
2025-12-17,Search,1457901
2025-12-17,Social,1372092
2025-12-17,Email,196466
2025-12-17,Partners,435025
2025-12-18,Search,902751
2025-12-18,Social,1090421
2025-12-18,Email,219344
2025-12-18,Partners,309598
2025-12-19,Search,1045203
2025-12-19,Social,1405507
2025-12-19,Email,194686
2025-12-19,Partners,317201
2025-12-20,Search,1102250
2025-12-20,Social,1222334
2025-12-20,Email,153438
2025-12-20,Partners,305096
2025-12-21,Search,1157832
2025-12-21,Social,1105410
2025-12-21,Email,200959
2025-12-21,Partners,338055
2025-12-22,Search,1342038
2025-12-22,Social,1098084
2025-12-22,Email,182409
2025-12-22,Partners,309570
2025-12-23,Search,852165
2025-12-23,Social,915627
2025-12-23,Email,144317
2025-12-23,Partners,442020
2025-12-24,Search,1441983
2025-12-24,Social,953535
2025-12-24,Email,137690
2025-12-24,Partners,389036
2025-12-25,Search,1306455
2025-12-25,Social,1475847
2025-12-25,Email,171932
2025-12-25,Partners,300516
2025-12-26,Search,1278130
2025-12-26,Social,1476503
2025-12-26,Email,191279
2025-12-26,Partners,365259
2025-12-27,Search,1419079
2025-12-27,Social,912505
2025-12-27,Email,162359
2025-12-27,Partners,353938
2025-12-28,Search,1374054
2025-12-28,Social,1455276
2025-12-28,Email,187560
2025-12-28,Partners,283125
2025-12-29,Search,1225478
2025-12-29,Social,1320279
2025-12-29,Email,172652
2025-12-29,Partners,433228
2025-12-30,Search,1328129
2025-12-30,Social,1673219
2025-12-30,Email,210452
2025-12-30,Partners,409137
2025-12-31,Search,1169920
2025-12-31,Social,1099710
2025-12-31,Email,121634
2025-12-31,Partners,356098
