refund_id,order_id,amount_cents
R000356,O004272,72612
R000357,O004278,13773
R000358,O004288,50735
R000359,O004295,14560
R000360,O004300,5334
R000361,O004331,78203
R000362,O004366,2557
R000363,O004368,11833
R000364,O004384,2134
R000365,O004398,48372
R000366,O004405,4304
R000367,O004407,22544
R000368,O004412,16181
R000369,O004432,2280
R000370,O004446,38669
R000371,O004450,20580
R000372,O004467,960
R000373,O004498,9242
R000374,O004499,46760
R000375,O004517,6703
R000376,O004522,38949
R000377,O004531,35876
R000378,O004547,17047
R000379,O004554,39876
R000380,O004557,15970
R000381,O004567,35153
R000382,O004583,19187
R000383,O004610,53136
R000384,O004612,15082
R000385,O004617,15442
R000386,O004638,2944
R000387,O004654,12646
R000388,O004668,24254
R000389,O004705,10977
R000390,O004715,5150
R000391,O004737,14295
R000392,O004749,27868
R000393,O004756,15106
R000394,O004766,20281
R000395,O004772,8755
R000396,O004787,26593
R000397,O004792,23710
R000398,O004795,25783
R000399,O004797,36700
R000400,O004799,18434
R000401,O004805,45329
R000402,O004837,8458
R000403,O004841,47483
R000404,O004858,12344
R000405,O004861,23093
R000406,O004885,26338
R000407,O004886,45010
R000408,O004890,20967
R000409,O004902,66224
R000410,O004912,9060
R000411,O004918,30743
R000412,O004922,11826
R000413,O004936,35730
R000414,O004951,14700
R000415,O004971,21389
R000416,O004973,21829
R000417,O004976,31777
R000418,O004981,11832
R000419,O004989,9648
R000420,O005008,19215
R000421,O005011,13068
R000422,O005012,17154
R000423,O005019,39634
R000424,O005027,63776
R000425,O005047,5076
R000426,O005055,15370
R000427,O005059,51122
R000428,O005071,2925
R000429,O005074,30232
R000430,O005076,19220
R000431,O005099,2506
R000432,O005112,37578
R000433,O005114,79389
R000434,O005116,35942
R000435,O005124,55819
R000436,O005165,51715
R000437,O005183,4108
R000438,O005191,12450
R000439,O005194,8018
R000440,O005204,23161
R000441,O005207,8347
R000442,O005211,62956
R000443,O005234,83452
R000444,O005239,19156
R000445,O005250,12274
R000446,O005251,12153
R000447,O005260,38754
R000448,O005304,25088
R000449,O005312,13065
R000450,O005319,68411
R000451,O005320,29498
R000452,O005337,19084
R000453,O005345,77619
R000454,O005359,3830
R000455,O005363,88907
R000456,O005438,3806
R000457,O005462,29718
R000458,O005473,17388
R000459,O005475,36285
R000460,O005490,23010
R000461,O005505,82482
R000462,O005508,12801
R000463,O005522,37116
R000464,O005523,7040
R000465,O005534,29773
R000466,O005571,38796
R000467,O005585,1604
R000468,O005599,33392
R000469,O005603,12296
R000470,O005615,13942
R000471,O005630,8292
R000472,O005647,51131
R000473,O005657,5240
R000474,O005664,83081
R000475,O005665,2107
R000476,O005667,25181
R000477,O005669,66020
R000478,O005683,16275
R000479,O005703,13430
R000480,O005704,13820
R000481,O005719,35514
R000482,O005757,44671
R000483,O005767,34435
R000484,O005769,67164
R000485,O005775,39458
R000486,O005824,19555
R000487,O005825,23588
R000488,O005828,15912
R000489,O005837,42965
R000490,O005844,810
R000491,O005848,15325
R000492,O005851,14374
R000493,O005900,35624
R000494,O005906,5208
R000495,O005907,63678
R000496,O005912,36095
R000497,O005918,36431
R000498,O005926,24753
R000499,O005932,19224
R000500,O005946,19209
R000501,O005947,74076
R000502,O005949,12821
R000503,O005959,20300
R000504,O005972,726
R000505,O006003,16992
R000506,O006007,36787
R000507,O006008,65118
R000508,O006025,29787
R000509,O006029,4270
R000510,O006082,7279
R000511,O006091,10121
R000512,O006104,46611
R000513,O006112,42611
R000514,O006119,8642
R000515,O006120,10653
R000516,O006123,26346
R000517,O006146,7813
R000518,O006172,69308
R000519,O006177,35354
R000520,O006197,17776
R000521,O006202,27486
R000522,O006210,47363
R000523,O006223,11388
R000524,O006272,38076
R000525,O006276,38713
R000526,O006343,31261
R000527,O006346,8276
R000528,O006348,22673
R000529,O006352,7459
R000530,O006361,34170
R000531,O006362,13261
R000532,O006370,32171
R000533,O006377,5483
R000534,O006394,4209
R000535,O006399,2151
R000536,O006404,4654
R000537,O006411,12787
R000538,O006425,12353
R000539,O006430,17327
R000540,O006444,34736
R000541,O006463,51101
R000542,O006489,24153
R000543,O006506,2136
R000544,O006509,13490
R000545,O006514,75843
R000546,O006515,14077
R000547,O006519,16791
R000548,O006545,20300
R000549,O006548,39873
R000550,O006550,12292
R000551,O006564,14359
R000552,O006571,19502
R000553,O006574,4313
R000554,O006576,7471
R000555,O006580,2077
R000556,O006587,27193
R000557,O006603,14319
R000558,O006611,43829
R000559,O006616,14138
R000560,O006620,11576
R000561,O006621,65069
R000562,O006636,51310
R000563,O006653,10115
R000564,O006658,18469
R000565,O006664,52882
R000566,O006684,61232
R000567,O006696,15237
R000568,O006698,16984
R000569,O006700,35932
R000570,O006702,5401
R000571,O006709,15856
R000572,O006718,10403
R000573,O006729,16827
R000574,O006747,3773
R000575,O006765,32637
R000576,O006772,12063
R000577,O006779,9529
R000578,O006828,9986
R000579,O006854,22352
R000580,O006864,2078
R000581,O006874,92584
R000582,O006878,9184
R000583,O006888,41553
R000584,O006900,9306
R000585,O006945,74244
R000586,O006947,14294
R000587,O006959,4402
R000588,O006979,50925
R000589,O006984,30584
R000590,O006986,20254
R000591,O007034,18026
R000592,O007045,20575
R000593,O007079,20319
R000594,O007130,29163
R000595,O007147,4118
R000596,O007150,63547
R000597,O007163,42935
R000598,O007195,8461
R000599,O007199,29448
R000600,O007222,18549
R000601,O007247,79215
R000602,O007273,82880
R000603,O007281,3306
R000604,O007284,16620
R000605,O007297,6091
R000606,O007299,16648
R000607,O007314,27884
R000608,O007316,9009
R000609,O007323,69126
R000610,O007348,15042
R000611,O007373,35684
R000612,O007378,25712
R000613,O007399,14986
R000614,O007438,24325
R000615,O007445,13619
R000616,O007451,36730
R000617,O007494,11567
R000618,O007506,14950
R000619,O007538,1473
R000620,O007549,16459
R000621,O007552,73895
R000622,O007568,29545
R000623,O007576,54918
R000624,O007586,5392
R000625,O007588,23958
R000626,O007590,17688
R000627,O007599,18759
R000628,O007604,16159
R000629,O007616,20738
R000630,O007626,3117
R000631,O007627,5771
R000632,O007628,81742
R000633,O007629,16865
R000634,O007649,14983
R000635,O007654,4413
R000636,O007657,17612
R000637,O007663,17645
R000638,O007672,10796
R000639,O007680,15168
R000640,O007687,5850
R000641,O007690,10714
R000642,O007693,4630
R000643,O007694,89434
R000644,O007718,38579
R000645,O007744,12301
R000646,O007745,6956
R000647,O007752,22994
R000648,O007759,51224
R000649,O007777,28219
R000650,O007779,2077
R000651,O007791,41425
R000652,O007796,78976
R000653,O007797,7144
R000654,O007806,51252
R000655,O007811,21195
R000656,O007816,1676
R000657,O007819,15872
R000658,O007829,9849
R000659,O007860,18868
R000660,O007881,23715
R000661,O007887,2578
R000662,O007890,18444
R000663,O007923,14492
R000664,O007936,21193
R000665,O007962,7580
R000666,O007963,7765
R000667,O007968,36028
R000668,O007997,35884
R000669,O008013,26560
R000670,O008054,13820
R000671,O008085,17926
R000672,O008087,5196
R000673,O008117,26012
R000674,O008138,39976
R000675,O008172,7284
R000676,O008178,81167
R000677,O008180,2991
R000678,O008181,19291
R000679,O008209,13507
R000680,O008228,18134
R000681,O008233,30781
R000682,O008271,18801
R000683,O008274,19961
R000684,O008277,65828
R000685,O008291,10715
R000686,O008292,5506
R000687,O008294,3455
R000688,O008310,71070
R000689,O008316,4060
R000690,O008329,13086
R000691,O008340,37620
R000692,O008342,37405
R000693,O008350,9544
R000694,O008354,2343
R000695,O008365,38592
R000696,O008381,5222
R000697,O008396,31085
R000698,O008397,18301
R000699,O008408,13415
R000700,O008422,69530
R000701,O008434,32520
R000702,O008439,44744
R000703,O008463,78145
R000704,O008472,56392
R000705,O008478,13423
R000706,O008480,31247
R000707,O008498,70544
R000708,O008517,5880
R000709,O008520,9749
R000710,O008536,82714
R000711,O008537,14641
R000712,O008540,18299
R000713,O008541,49886
R000714,O008558,25868
R000715,O008564,13766
R000716,O008572,33811
R000717,O008576,7918
R000718,O008583,4024
R000719,O008591,62226
R000720,O008601,7400
R000721,O008618,35963
R000722,O008653,22228
R000723,O008698,85733
R000724,O008700,21912
R000725,O008718,2097
R000726,O008743,40823
R000727,O008748,45884
R000728,O008751,8230
R000729,O008754,17920
R000730,O008776,20188
R000731,O008778,40377
R000732,O008779,16158
R000733,O008795,48935
R000734,O008798,84381
R000735,O008800,81762
R000736,O008815,2263
R000737,O008820,13900
R000738,O008841,14920
R000739,O008847,12743
R000740,O008866,18247
R000741,O008868,13478
R000742,O008879,72237
R000743,O008887,16704
R000744,O008890,20601
R000745,O008896,12227
R000746,O008944,7763
R000747,O008950,5842
R000748,O008963,66936
R000749,O008965,14846
R000750,O008966,74043
R000751,O008972,27353
R000752,O008980,16739
R000753,O009003,40352
R000754,O009015,19564
R000755,O009042,44478
R000756,O009057,14747
R000757,O009096,11050
R000758,O009098,7308
R000759,O009106,18239
R000760,O009131,26502
R000761,O009154,16320
R000762,O009178,54297
R000763,O009185,5583
R000764,O009204,7132
R000765,O009212,17286
R000766,O009237,5074
R000767,O009255,15777
R000768,O009259,4947
R000769,O009268,12760
R000770,O009283,4750
R000771,O009294,4516
R000772,O009295,19991
R000773,O009327,37521
R000774,O009374,13802
R000775,O009414,4217
R000776,O009416,17645
R000777,O009417,79882
R000778,O009425,34489
R000779,O009449,886
R000780,O009463,36086
R000781,O009472,4221
R000782,O009477,15398
R000783,O009495,12420
R000784,O009499,46040
R000785,O009501,66754
R000786,O009520,36223
R000787,O009530,22842
R000788,O009534,23941
R000789,O009537,26859
R000790,O009538,16857
R000791,O009581,17044
R000792,O009604,74832
R000793,O009612,3250
R000794,O009618,45288
R000795,O009630,17300
R000796,O009632,2929
R000797,O009639,10299
R000798,O009652,19540
R000799,O009654,21885
R000800,O009657,65004
R000801,O009673,43922
R000802,O009685,47242
R000803,O009690,21529
R000804,O009701,1917
R000805,O009704,40091
R000806,O009714,55659
R000807,O009738,35889
R000808,O009746,31163
R000809,O009748,9611
R000810,O009751,23716
R000811,O009760,44335
R000812,O009775,3168
R000813,O009781,3327
R000814,O009789,21668
R000815,O009808,4204
R000816,O009816,14763
R000817,O009824,9817
R000818,O009846,7301
R000819,O009848,9248
R000820,O009864,14440
R000821,O009894,23156
R000822,O009917,15526
R000823,O009918,1342
R000824,O009923,18920
R000825,O009954,9961
R000826,O009958,76700
R000827,O009959,7400
R000828,O010020,17529
R000829,O010027,92110
R000830,O010030,45212
R000831,O010032,25652
R000832,O010042,6932
R000833,O010057,4457
R000834,O010059,10502
R000835,O010072,53841
R000836,O010075,74695
R000837,O010112,41303
R000838,O010128,29113
R000839,O010134,6837
R000840,O010150,39871
R000841,O010151,30910
R000842,O010168,71845
R000843,O010171,10800
R000844,O010178,7921
R000845,O010200,12957
R000846,O010224,12806
R000847,O010278,5351
R000848,O010280,88175
R000849,O010289,30960
R000850,O010291,63133
R000851,O010296,56980
R000852,O010321,43032
R000853,O010328,4949
R000854,O010333,19345
R000855,O010349,10014
R000856,O010360,5560
R000857,O010369,13824
R000858,O010395,4504
R000859,O010400,16885
R000860,O010401,30079
R000861,O010419,3118
R000862,O010450,8176
R000863,O010460,77123
R000864,O010462,79424
R000865,O010466,11705
R000866,O010473,1071
R000867,O010480,17931
R000868,O010509,29716
R000869,O010525,6058
R000870,O010528,11892
R000871,O010555,47023
R000872,O010559,29989
R000873,O010579,972
R000874,O010586,73401
R000875,O010589,19684
R000876,O010595,65315
R000877,O010624,8425
R000878,O010633,21263
R000879,O010634,38037
R000880,O010639,41533
R000881,O010648,35055
R000882,O010652,23530
R000883,O010662,37693
R000884,O010676,4237
R000885,O010715,7932
R000886,O010728,13494
R000887,O010752,39256
R000888,O010788,4341
R000889,O010794,15357
R000890,O010802,11096
R000891,O010822,29527
R000892,O010840,3417
R000893,O010848,28186
R000894,O010865,15923
R000895,O010867,9140
R000896,O010890,45548
R000897,O010891,11606
R000898,O010903,11905
R000899,O010904,3974
R000900,O010905,18725
R000901,O010908,77335
R000902,O010913,11701
R000903,O010917,51605
R000904,O010921,43619
R000905,O010932,40634
R000906,O010933,20748
R000907,O010936,70184
R000908,O010938,55798
R000909,O010952,35495
R000910,O010990,46682
R000911,O010992,41357
R000912,O010997,27288
R000913,O010998,5610
R000914,O011007,5103
R000915,O011018,81516
R000916,O011031,5960
R000917,O011032,13620
R000918,O011034,20843
R000919,O011038,26483
R000920,O011054,53660
R000921,O011068,33240
R000922,O011069,39236
R000923,O011076,19335
R000924,O011081,2133
R000925,O011087,9498
R000926,O011097,13945
R000927,O011102,5088
R000928,O011104,27810
R000929,O011120,49537
R000930,O011131,14343
R000931,O011132,4415
R000932,O011135,80206
R000933,O011160,22472
R000934,O011166,76450
R000935,O011175,17539
R000936,O011182,5683
R000937,O011187,14884
R000938,O011200,36065
R000939,O011212,16738
R000940,O011234,11988
R000941,O011241,25200
R000942,O011261,61326
R000943,O011274,21040
R000944,O011283,12498
R000945,O011289,3352
R000946,O011291,11692
R000947,O011302,58617
R000948,O011304,7096
R000949,O011313,8345
R000950,O011317,13515
R000951,O011330,22830
R000952,O011344,85030
R000953,O011348,32253
R000954,O011354,10624
R000955,O011356,67459
R000956,O011375,34945
R000957,O011380,61870
R000958,O011382,10031
R000959,O011401,19503
R000960,O011405,16118
R000961,O011422,23188
R000962,O011431,6239
R000963,O011438,42308
R000964,O011465,7673
R000965,O011466,5367
R000966,O011474,67437
R000967,O011481,1913
R000968,O011483,39477
R000969,O011485,13203
R000970,O011499,15878
R000971,O011502,14830
R000972,O011520,49042
R000973,O011530,4693
R000974,O011536,85676
R000975,O011538,70576
R000976,O011553,19914
R000977,O011555,6412
R000978,O011560,4024
R000979,O011573,58014
R000980,O011584,72706
R000981,O011589,14160
R000982,O011599,68377
R000983,O011603,10203
R000984,O011606,87139
R000985,O011639,11243
R000986,O011654,2385
R000987,O011660,12251
R000988,O011685,5324
R000989,O011696,986
R000990,O011710,14419
R000991,O011718,15566
R000992,O011719,6788
R000993,O011732,5516
R000994,O011739,13212
R000995,O011741,27419
R000996,O011754,9963
R000997,O011762,1517
R000998,O011767,17021
R000999,O011776,18100
R001000,O011778,4515
R001001,O011783,12870
R001002,O011810,27993
R001003,O011827,12157
R001004,O011832,8765
R001005,O011833,19307
R001006,O011835,20133
R001007,O011840,29392
R001008,O011841,39098
R001009,O011864,10475
R001010,O011870,34126
R001011,O011872,70218
R001012,O011873,6346
R001013,O011879,12887
R001014,O011887,8703
R001015,O011888,22349
R001016,O011889,57849
R001017,O011952,17594
R001018,O011962,29521
R001019,O011964,16867
R001020,O011968,87042
R001021,O011974,55524
R001022,O012005,16125
R001023,O012007,23682
R001024,O012021,63420
R001025,O012026,41601
R001026,O012038,18857
R001027,O012047,12250
R001028,O012081,56543
R001029,O012084,6423
R001030,O012089,23964
R001031,O012130,41312
R001032,O012138,47247
R001033,O012139,17117
R001034,O012140,86131
R001035,O012143,9051
R001036,O012146,41882
R001037,O012148,2483
R001038,O012150,52107
R001039,O012151,7949
R001040,O012152,34339
R001041,O012158,21714
R001042,O012168,6203
R001043,O012195,5124
R001044,O012220,19448
R001045,O012229,3712
R001046,O012235,27588
R001047,O012252,20818
R001048,O012298,17537
R001049,O012320,13642
R001050,O012324,15507
R001051,O012345,41584
R001052,O012350,21057
R001053,O012360,17862
R001054,O012365,2466
R001055,O012366,6692
R001056,O012368,84986
R001057,O012376,11654
R001058,O012377,15323
R001059,O012383,40404
R001060,O012394,17443
R001061,O012406,19416
R001062,O012412,4673
R001063,O012422,54110
R001064,O012432,7816
R001065,O012433,1894
R001066,O012451,38027
R001067,O012455,62147
R001068,O012458,36593
R001069,O012462,68965
R001070,O012493,30496
R001071,O012498,12099
R001072,O012502,12979
R001073,O012509,9497
R001074,O012540,61937
R001075,O012555,28601
R001076,O012566,29383
R001077,O012571,26248
R001078,O012576,868
R001079,O012615,36728
R001080,O012633,24092
R001081,O012634,37527
R001082,O012642,44894
R001083,O012657,64199
R001084,O012660,5455
R001085,O012668,12064
R001086,O012675,10372
R001087,O012696,7859
R001088,O012700,6924
R001089,O012753,3411
R001090,O012756,1780
R001091,O012770,1993
R001092,O012775,16897
R001093,O012777,20337
R001094,O012786,24256
R001095,O012809,4802
R001096,O012810,8217
R001097,O012826,22316
R001098,O012832,31724
R001099,O012839,13459
R001100,O012858,38949
R001101,O012871,21730
R001102,O012881,32372
R001103,O012882,1500
R001104,O012888,41494
R001105,O012892,12444
R001106,O012929,2715
R001107,O012940,22280
R001108,O012942,14918
R001109,O012983,41125
R001110,O012996,8358
R001111,O013013,6208
R001112,O013034,33908
R001113,O013048,8107
R001114,O013049,1917
R001115,O013050,40597
R001116,O013051,7702
R001117,O013053,32276
R001118,O013055,24872
R001119,O013066,15584
R001120,O013068,24291
R001121,O013070,22719
R001122,O013075,31565
R001123,O013088,10948
R001124,O013094,14863
R001125,O013095,7082
R001126,O013104,7582
R001127,O013108,24780
R001128,O013152,57624
R001129,O013159,32679
R001130,O013171,23498
R001131,O013174,42351
R001132,O013185,18046
R001133,O013190,75540
R001134,O013217,17982
R001135,O013223,10797
R001136,O013229,27308
R001137,O013232,84297
R001138,O013249,7929
R001139,O013258,12647
R001140,O013271,29383
R001141,O013281,38786
R001142,O013289,48449
R001143,O013300,39743
R001144,O013306,19773
R001145,O013330,50084
R001146,O013337,38293
R001147,O013350,7762
R001148,O013354,63197
R001149,O013358,7947
R001150,O013389,22482
R001151,O013417,17602
R001152,O013425,26571
R001153,O013433,2933
R001154,O013437,17625
R001155,O013466,16569
R001156,O013493,33577
R001157,O013498,43729
R001158,O013512,5294
R001159,O013517,1965
R001160,O013531,13614
R001161,O013551,87296
R001162,O013562,7889
R001163,O013597,15493
R001164,O013607,23580
R001165,O013611,30471
R001166,O013618,18552
R001167,O013629,85491
R001168,O013638,62525
R001169,O013641,76192
R001170,O013645,10738
R001171,O013680,10457
R001172,O013682,8778
R001173,O013684,7227
R001174,O013696,11963
R001175,O013701,30989
R001176,O013708,41572
R001177,O013713,46303
R001178,O013715,35155
R001179,O013723,25634
R001180,O013727,67039
R001181,O013729,21912
R001182,O013748,64403
R001183,O013760,2770
R001184,O013770,76843
R001185,O013771,3998
R001186,O013777,45820
R001187,O013785,32455
R001188,O013786,13819
R001189,O013789,11313
R001190,O013799,9724
R001191,O013810,899
R001192,O013812,8026
R001193,O013834,9133
R001194,O013850,38573
R001195,O013852,16587
R001196,O013867,49011
R001197,O013874,77019
R001198,O013878,12882
R001199,O013880,18436
R001200,O013889,9229
R001201,O013896,1908
R001202,O013904,66705
R001203,O013907,23687
R001204,O013908,3796
R001205,O013928,17679
R001206,O013937,33983
R001207,O013938,3915
R001208,O013945,6939
R001209,O013955,46284
R001210,O013958,5917
R001211,O013963,10063
R001212,O013964,12263
R001213,O013995,20734
R001214,O013998,13548
R001215,O013999,6445
R001216,O014014,63847
R001217,O014025,32684
R001218,O014034,64010
R001219,O014036,16417
R001220,O014039,31758
R001221,O014057,36475
R001222,O014059,67668
R001223,O014073,24138
R001224,O014079,8178
R001225,O014081,22322
R001226,O014105,21762
R001227,O014107,31834
R001228,O014110,20956
R001229,O014113,17699
R001230,O014115,40808
R001231,O014117,15404
R001232,O014121,2662
R001233,O014125,65031
R001234,O014126,2606
R001235,O014169,17502
R001236,O014172,14125
R001237,O014175,10334
R001238,O014202,18841
R001239,O014203,22284
R001240,O014207,18950
R001241,O014212,5180
R001242,O014222,21913
R001243,O014234,1669
R001244,O014245,89419
R001245,O014247,37812
R001246,O014269,17691
R001247,O014290,41777
R001248,O014303,44644
R001249,O014324,71694
R001250,O014439,25503
R001251,O014456,17476
R001252,O014460,28048
R001253,O014480,20374
R001254,O014489,5088
R001255,O014511,26961
R001256,O014527,51172
R001257,O014541,893
R001258,O014546,5312
R001259,O014552,25247
R001260,O014560,1802
R001261,O014564,16888
R001262,O014601,21809
R001263,O014617,7756
R001264,O014620,3849
R001265,O014640,20315
R001266,O014666,14080
R001267,O014698,82355
R001268,O014706,73318
R001269,O014710,24271
R001270,O014735,12908
