order_id,date,country,channel,status,gross_cents,discount_cents,cogs_cents,fulfilment_cents
O004720,2025-11-15,US,Search,paid,42046,2943,22679,1123
O006101,2025-08-02,UK,Search,paid,67024,0,31501,1642
O014128,2025-09-13,US,Social,paid,89923,7193,47156,745
O000248,2025-12-23,Germany,Social,paid,90535,9053,30148,1595
O007065,2025-12-27,Germany,Search,paid,85025,4251,46848,1940
O041905,2025-12-10,UAE,Search,paid,5508,165,3098,932
O011963,2025-07-19,UAE,Partners,paid,32949,0,19110,1854
O006872,2025-11-03,UK,Search,paid,60616,5455,17099,370
O029569,2025-12-02,US,Partners,paid,94755,14213,28995,1620
O000703,2025-12-21,UAE,Search,paid,22647,1358,6812,751
O041252,2025-07-23,UK,Search,paid,63939,639,32916,1051
O014446,2025-07-12,Germany,Social,paid,42752,4702,11415,1750
O038911,2025-08-29,US,Partners,paid,93405,4670,47029,920
O031550,2025-08-23,US,Email,paid,90607,906,26013,755
O022634,2025-09-06,UAE,Partners,paid,73376,4402,23451,1794
O026757,2025-07-20,UK,Search,paid,74575,745,40606,925
O038590,2025-12-08,UK,Social,paid,79100,9492,33411,690
O014907,2025-08-07,UAE,Partners,paid,16669,1000,4387,444
O048362,2025-08-23,US,Partners,paid,44144,6180,17083,637
O014920,2025-12-19,UAE,Search,paid,7420,0,3710,1777
O043208,2025-10-16,UK,Search,paid,44855,3588,21458,1139
O011252,2025-08-02,UK,Social,pending,53261,532,20564,1062
O047478,2025-12-15,UK,Search,paid,93038,0,36284,928
O021282,2025-09-13,Germany,Email,paid,75998,759,38371,1841
O046279,2025-11-06,UK,Social,paid,42505,6375,12645,869
O013414,2025-09-26,UAE,Social,cancelled,30732,4609,9143,497
O042719,2025-08-02,US,Search,paid,61005,1830,30179,358
O000706,2025-12-15,UAE,Email,paid,41288,4128,13749,1443
O044707,2025-12-01,UK,Search,paid,49984,999,19104,2015
O015227,2025-09-11,UAE,Partners,paid,69470,9725,34652,2016
O026997,2025-08-27,UK,Social,paid,72967,3648,39511,1011
O004102,2025-12-26,UAE,Social,paid,42517,4676,19677,792
O005588,2025-08-12,UAE,Search,paid,3797,493,1024,1732
O000013,2025-12-25,UAE,Social,paid,28032,2803,8073,1342
O032775,2025-11-23,UK,Search,paid,7017,561,2969,1220
O019093,2025-09-21,US,Social,paid,51726,3620,28382,1492
O028561,2025-08-09,US,Search,paid,8227,822,2147,1490
O039060,2025-08-29,UK,Search,cancelled,79204,9504,37638,963
O024834,2025-07-29,UK,Partners,pending,45524,3641,15496,531
O037128,2025-07-24,UAE,Search,paid,57860,6364,22658,1091
O007552,2025-12-09,UK,Search,paid,84936,11041,37686,918
O029782,2025-07-21,UK,Social,paid,70837,4250,32627,867
O031713,2025-10-07,UAE,Search,paid,49258,4925,12856,1756
O037655,2025-08-12,UAE,Partners,paid,25484,3822,9531,1111
O039970,2025-07-16,UAE,Email,paid,75329,8286,26817,882
O033700,2025-10-22,US,Social,paid,5911,354,2056,473
O047487,2025-07-16,US,Search,paid,49329,2959,12983,368
O010514,2025-12-17,US,Partners,paid,38963,779,11455,703
O009481,2025-08-04,Germany,Search,paid,28042,560,12916,572
O004507,2025-08-24,Germany,Search,paid,93332,13066,48159,552
O049848,2025-09-10,US,Search,paid,84921,7642,30911,1436
O022075,2025-12-01,UAE,Search,paid,86907,5214,28592,1374
O019592,2025-07-03,UK,Email,paid,26333,2106,12113,900
O028065,2025-07-25,US,Search,paid,52176,7304,19294,1448
O038061,2025-11-16,UAE,Search,paid,17546,1052,8247,892
O024546,2025-09-05,Germany,Email,paid,57533,1725,25113,1459
O048480,2025-08-23,Germany,Partners,paid,29374,2643,14434,1780
O028654,2025-10-06,Germany,Partners,paid,32384,1943,10349,686
O040861,2025-11-07,UAE,Search,cancelled,41578,1663,23150,403
O022907,2025-12-29,US,Search,paid,19504,1560,5562,930
O010661,2025-11-30,UAE,Social,pending,35172,1055,12623,1031
O012584,2025-11-20,US,Search,paid,44684,5362,16122,683
O016951,2025-10-05,Germany,Email,paid,15567,1089,4198,1943
O008524,2025-09-11,Germany,Social,paid,86154,11200,24734,1605
O008453,2025-09-29,US,Search,paid,40723,1221,22911,1969
O037400,2025-11-29,UK,Partners,paid,53632,5899,21957,1294
O040411,2025-07-20,US,Email,paid,15813,2055,7979,1406
O007887,2025-12-03,UAE,Search,paid,10855,542,5878,2078
O007419,2025-11-16,Germany,Search,cancelled,58383,5254,23908,810
O030330,2025-08-28,UAE,Search,paid,14689,440,5414,1611
O025725,2025-12-02,Germany,Social,pending,56001,6720,14291,780
O035301,2025-12-07,US,Partners,paid,16192,1457,5451,1744
O039481,2025-09-13,US,Email,paid,8465,1269,2014,1042
O042463,2025-10-21,UAE,Social,paid,30754,615,14466,1190
O009600,2025-10-21,UAE,Search,pending,21878,3281,7252,1652
O044910,2025-07-10,UAE,Search,paid,59553,4168,16615,1300
O045297,2025-09-26,US,Search,paid,42729,4700,20535,1195
O032386,2025-10-25,Germany,Search,paid,64796,7127,19607,980
O038060,2025-10-30,Germany,Search,paid,48565,6799,16288,694
O014476,2025-12-24,UAE,Email,paid,86410,864,51327,1920
O004350,2025-10-24,Germany,Search,paid,93473,8412,39978,719
O023843,2025-09-10,Germany,Partners,paid,66169,5293,18262,1466
O042665,2025-12-11,Germany,Email,paid,61425,1228,31302,1879
O024928,2025-10-26,US,Search,paid,91817,10099,38407,510
O044636,2025-12-02,UK,Email,paid,90506,10860,25486,846
O002565,2025-08-18,Germany,Search,paid,18861,1697,9440,2037
O043564,2025-10-21,US,Social,cancelled,77296,4637,43595,889
O038099,2025-12-26,US,Partners,paid,46391,927,25459,616
O005424,2025-09-26,UK,Partners,paid,68124,5449,31337,1194
O012942,2025-11-26,Germany,Social,paid,60891,1217,22079,580
O011388,2025-09-26,Germany,Social,paid,49112,2946,22159,1245
O046093,2025-12-24,Germany,Search,paid,55372,3322,29148,538
O000850,2025-08-03,US,Social,paid,33532,335,11950,977
O024654,2025-07-11,UAE,Social,paid,30754,1537,10810,835
O044824,2025-11-21,US,Search,paid,60633,4244,25375,722
O016700,2025-11-20,US,Social,paid,45251,6787,16154,862
O029616,2025-09-16,Germany,Search,paid,81282,6502,31407,1352
O045374,2025-08-09,Germany,Search,paid,90166,3606,32892,1575
O013761,2025-08-03,UK,Search,paid,56696,7937,14140,1112
O004685,2025-10-06,UAE,Social,paid,26424,0,10305,1430
O032526,2025-12-31,UAE,Social,paid,76206,10668,31458,1122
O033364,2025-09-05,UAE,Search,paid,68803,688,29970,914
O000292,2025-11-16,UAE,Partners,paid,52418,6814,25082,1968
O002828,2025-12-03,UAE,Social,paid,80991,3239,42763,604
O036748,2025-07-31,UK,Search,paid,8728,523,4676,949
O020462,2025-07-15,UAE,Partners,paid,26377,1318,7768,449
O049475,2025-11-19,US,Email,paid,31811,2544,10243,450
O032702,2025-12-08,Germany,Partners,paid,75598,2267,26399,1425
O041347,2025-12-26,UK,Social,paid,94362,11323,30724,1856
O044279,2025-07-02,UAE,Search,paid,88130,6169,36062,1878
O013858,2025-07-26,UK,Social,paid,86206,2586,38465,1214
O005251,2025-08-25,US,Social,paid,25586,1279,7535,1431
O002719,2025-12-22,US,Email,paid,56392,6203,29611,1655
O038992,2025-07-07,UAE,Social,paid,65742,9203,19223,1541
O004485,2025-11-20,UAE,Search,paid,5710,856,2378,1424
O046896,2025-11-29,UK,Email,paid,3765,0,1581,951
O019831,2025-09-26,US,Email,paid,47064,0,23061,622
O049216,2025-09-04,Germany,Social,paid,26474,2117,13639,1935
O048348,2025-07-13,UK,Search,cancelled,17352,520,8247,1582
O028826,2025-12-03,UAE,Search,paid,13104,1179,5724,806
O021403,2025-08-28,UK,Email,paid,61815,1854,17988,868
O018426,2025-08-18,Germany,Social,paid,31595,2843,13225,518
O032081,2025-07-14,UK,Social,paid,84411,5064,43640,495
O022604,2025-11-22,Germany,Partners,paid,65100,3906,20805,686
O029660,2025-07-03,UK,Search,paid,6227,249,2152,1490
O024911,2025-08-08,UAE,Email,paid,14788,1922,5403,1859
O000522,2025-12-15,Germany,Search,paid,27661,3319,8763,1937
O025557,2025-08-05,Germany,Search,paid,8458,0,3890,445
O013576,2025-08-05,UK,Search,cancelled,85895,7730,43772,810
O004421,2025-11-21,UK,Search,paid,61825,8037,24204,515
O021288,2025-12-11,UK,Partners,paid,63273,2530,24904,1586
O004439,2025-08-11,Germany,Social,paid,85122,11917,23425,507
O032101,2025-10-24,UAE,Social,paid,8223,411,4374,1983
O043329,2025-11-10,UAE,Email,paid,12875,1802,5757,1615
O015498,2025-11-30,UK,Search,paid,84638,1692,35666,512
O031619,2025-12-22,UAE,Search,paid,72134,5049,32871,1344
O009631,2025-12-15,UK,Partners,paid,15575,1090,8546,1297
O005708,2025-09-19,Germany,Social,paid,72690,4361,40314,1625
O001955,2025-12-21,Germany,Search,cancelled,22522,450,12360,645
O026892,2025-10-01,UAE,Search,paid,15219,1978,5031,1394
O041455,2025-09-23,US,Partners,paid,29779,893,13287,599
O037477,2025-10-14,Germany,Email,paid,84936,9342,45356,1555
O049438,2025-09-06,Germany,Email,paid,28597,2859,14155,809
O002010,2025-12-06,Germany,Social,paid,74984,9747,24137,445
O007428,2025-11-27,US,Social,paid,22318,2678,8052,1720
O046270,2025-09-04,US,Social,paid,34353,3778,14064,714
O044949,2025-08-31,US,Social,paid,87071,11319,27270,935
O044100,2025-08-07,Germany,Social,paid,84124,12618,28602,777
O030548,2025-07-05,US,Partners,cancelled,3256,423,1331,1747
O012815,2025-09-26,Germany,Search,paid,87298,11348,43291,579
O011309,2025-10-22,UAE,Partners,pending,84726,6778,24943,1036
O014190,2025-12-29,Germany,Partners,paid,39435,4732,18392,2094
O043376,2025-11-09,UAE,Social,paid,14239,0,3986,1164
O029263,2025-11-23,UAE,Partners,paid,26032,780,11615,1420
O037004,2025-09-02,UK,Social,paid,69848,9778,32437,693
O040760,2025-12-27,Germany,Email,paid,53913,3773,26072,630
O035589,2025-07-21,UK,Partners,paid,43608,2616,11477,1828
O030538,2025-09-29,UAE,Search,cancelled,89764,13464,27468,1193
O017336,2025-11-30,UAE,Partners,paid,45995,3679,23273,1073
O001281,2025-09-13,Germany,Email,paid,40979,2048,15183,1529
O049909,2025-12-06,US,Social,paid,44803,4032,17939,488
O049981,2025-08-25,Germany,Search,paid,5650,282,2200,2015
O014315,2025-12-10,UAE,Partners,paid,61295,4290,23942,943
O017960,2025-08-28,US,Social,paid,29415,4412,14001,824
O006817,2025-10-08,UK,Search,paid,15635,1407,8394,1353
O015185,2025-12-03,UK,Partners,cancelled,6048,907,2107,556
O049196,2025-07-11,Germany,Search,paid,76674,6133,21162,909
O048660,2025-08-26,US,Search,paid,80487,10463,28709,920
O049744,2025-09-20,Germany,Search,paid,16597,663,7967,1828
O038331,2025-07-19,US,Email,paid,54934,1098,30148,1053
O022531,2025-09-11,UAE,Social,paid,47243,1417,19705,537
O017526,2025-07-21,US,Email,paid,11929,1550,4047,1552
O028463,2025-08-20,Germany,Email,paid,30408,912,14158,920
O002579,2025-12-29,UK,Social,paid,53398,0,25631,482
O040430,2025-12-11,US,Partners,paid,14748,1622,6169,1781
O040696,2025-09-11,UAE,Search,cancelled,26845,2952,9079,1992
O030613,2025-11-09,US,Social,cancelled,17320,2078,6096,1674
O005940,2025-08-06,Germany,Search,pending,24392,487,13147,1768
O036958,2025-07-21,Germany,Search,paid,91454,8230,45773,542
O004167,2025-12-03,UAE,Search,paid,23916,717,10439,1053
O021001,2025-12-12,UAE,Social,paid,26582,3987,12427,1487
O006820,2025-12-13,US,Social,paid,45551,5010,20270,608
O042770,2025-08-03,UAE,Partners,paid,8160,652,2402,910
O013929,2025-11-12,UK,Search,paid,87045,1740,25591,1278
O034664,2025-08-11,Germany,Email,paid,90600,2718,28122,1619
O023186,2025-10-02,UAE,Search,paid,28826,2017,11259,1204
O001371,2025-10-05,Germany,Social,paid,26803,0,7772,1616
O016526,2025-11-06,Germany,Partners,paid,48780,4390,17756,1310
O003487,2025-10-27,UAE,Social,paid,56166,5616,28308,1249
O040475,2025-11-26,US,Social,cancelled,45089,1803,18612,1048
O007528,2025-09-16,Germany,Social,paid,82239,5756,24474,1351
O041245,2025-07-10,Germany,Partners,paid,12773,255,6634,868
O005635,2025-10-16,UK,Partners,paid,3651,146,2032,832
O003658,2025-12-06,US,Email,paid,36603,3294,15322,1627
O013823,2025-08-16,US,Email,paid,67052,8046,18881,1342
O001453,2025-07-12,US,Search,paid,45000,2250,20520,1764
O021506,2025-11-24,UAE,Social,paid,92872,6501,33684,1482
O041634,2025-08-10,UAE,Partners,paid,67355,6735,27885,536
O002830,2025-09-12,Germany,Email,paid,81325,2439,31554,1495
O036901,2025-11-02,UK,Partners,paid,5230,575,1349,1625
O017731,2025-09-13,UK,Social,paid,14058,1827,6849,1404
O032644,2025-12-10,UAE,Email,paid,40259,4428,17198,445
O033164,2025-08-14,US,Social,paid,75591,5291,23199,1469
O048262,2025-12-24,Germany,Social,paid,55813,1116,26801,1580
O049903,2025-09-01,US,Search,paid,48346,5318,12047,1606
O016397,2025-08-14,UK,Social,paid,59099,3545,22777,1731
O018962,2025-08-21,Germany,Search,paid,41411,414,12709,1240
O027949,2025-10-14,UAE,Search,paid,41525,3737,17760,1384
O034424,2025-10-04,UAE,Search,paid,94798,4739,46830,945
O032265,2025-11-14,US,Social,paid,39415,4335,14733,1926
O035601,2025-10-03,UAE,Email,paid,9503,95,2822,1795
O021784,2025-12-10,UK,Social,paid,62439,3121,26099,1777
O022856,2025-10-11,UK,Email,paid,20292,1623,9334,1310
O047942,2025-11-11,UAE,Partners,paid,27957,1677,9723,1498
O004305,2025-10-01,US,Search,paid,12412,1613,3779,874
O049670,2025-12-19,Germany,Search,paid,65630,6563,35440,1494
O024571,2025-10-28,UAE,Search,paid,13899,555,6538,807
O041132,2025-09-25,UAE,Email,cancelled,60050,6005,18375,937
O035633,2025-09-13,UAE,Social,paid,23195,3015,8879,794
O002249,2025-07-02,US,Search,paid,61264,9189,15101,2096
O005927,2025-09-23,US,Social,paid,81635,3265,36833,887
O019245,2025-09-19,US,Social,pending,74492,1489,28471,1630
O003478,2025-09-24,Germany,Partners,paid,76573,3828,21096,688
O003506,2025-11-29,UK,Social,paid,12891,128,5615,435
O015902,2025-08-08,US,Partners,paid,26187,523,8725,423
O025057,2025-09-28,US,Social,paid,57111,7995,20137,1097
O025147,2025-09-12,UK,Social,paid,25774,1804,14382,1027
O040575,2025-09-19,US,Search,cancelled,47678,0,18117,2034
O018628,2025-10-15,UK,Social,paid,88654,7978,32270,1538
O016326,2025-08-06,UK,Email,paid,21577,3020,5938,1460
O003078,2025-11-17,UK,Social,paid,37489,1874,13533,1563
O044721,2025-07-26,Germany,Social,paid,23304,3029,9123,1963
O028714,2025-09-29,UAE,Social,cancelled,9569,669,3649,366
O045759,2025-08-11,Germany,Social,cancelled,45440,1363,19393,1839
O047023,2025-08-18,US,Email,paid,38108,3048,12621,612
O000969,2025-11-13,UK,Social,paid,34207,1710,17223,553
O023772,2025-09-04,Germany,Email,paid,40700,4477,10142,1999
O000669,2025-08-30,UK,Social,pending,56908,1138,21750,859
O018497,2025-10-21,UK,Social,paid,81019,9722,39926,1247
O049703,2025-10-09,US,Social,paid,77723,11658,25104,447
O041880,2025-11-01,Germany,Search,paid,84035,5042,45026,874
O018913,2025-12-23,UAE,Social,paid,73980,11097,23266,787
O022019,2025-11-20,UK,Search,paid,71555,5008,31942,1387
O023991,2025-08-05,Germany,Search,paid,47114,5182,18450,1722
O033384,2025-10-18,Germany,Partners,paid,59420,1188,34939,1468
O015018,2025-12-11,UAE,Social,paid,91801,3672,52877,1124
O024180,2025-08-23,UAE,Search,paid,53338,0,21868,1838
O035366,2025-11-28,Germany,Partners,paid,59127,7095,17170,819
O044843,2025-09-23,UAE,Social,paid,15265,915,8323,1290
O005825,2025-10-18,UAE,Search,paid,51842,4665,20286,1999
O040362,2025-08-11,US,Search,paid,57926,6371,17528,719
O032543,2025-07-15,Germany,Email,paid,23058,1844,10819,1226
O008205,2025-11-13,US,Search,paid,75964,2278,21368,377
O043535,2025-11-13,US,Email,paid,38998,4289,18048,1749
O038063,2025-08-04,UK,Social,paid,69922,4195,30891,1772
O045737,2025-12-04,UK,Social,paid,92467,7397,28073,972
O032251,2025-07-28,UAE,Social,paid,86265,11214,27018,1320
O000531,2025-07-10,Germany,Social,paid,65309,7837,27586,1476
O011377,2025-08-16,Germany,Search,cancelled,22986,1838,5921,1560
O019784,2025-10-16,UK,Social,cancelled,65570,9835,17277,653
O010849,2025-08-31,UK,Search,paid,18679,1681,8329,365
O024597,2025-10-08,US,Email,paid,33551,5032,16255,1364
O044406,2025-10-05,US,Partners,paid,22577,2935,9035,917
O043866,2025-07-11,UAE,Social,cancelled,81405,4884,25251,2073
O009375,2025-10-01,UK,Partners,paid,51944,7791,26050,417
O036750,2025-10-23,Germany,Social,paid,49741,6466,12982,755
O000835,2025-12-06,Germany,Search,paid,17202,2064,6206,873
O019026,2025-12-19,UK,Social,paid,88539,8853,33468,1769
O045511,2025-11-30,UAE,Search,paid,77814,778,22340,2018
O021803,2025-09-07,Germany,Social,cancelled,58382,7005,29798,1518
O041959,2025-11-26,UK,Email,pending,48932,6850,14307,1398
O030099,2025-09-12,Germany,Email,paid,81422,6513,26218,1699
O005371,2025-08-22,UAE,Social,paid,30250,1512,8908,1095
O012441,2025-09-20,UAE,Email,paid,77022,4621,21720,1371
O013839,2025-10-12,Germany,Search,paid,64792,7775,21666,483
O031295,2025-09-22,US,Search,paid,20919,1255,11601,759
O020149,2025-11-14,Germany,Email,paid,37700,4901,15415,2027
O013082,2025-11-02,Germany,Search,pending,40969,409,21902,1718
O038217,2025-10-14,UAE,Search,paid,37402,2244,20040,1522
O021929,2025-10-16,US,Search,paid,55307,2212,28140,1339
O041806,2025-09-12,US,Search,paid,54952,1648,21854,1090
O033233,2025-11-25,Germany,Partners,paid,31253,4375,15589,763
O018741,2025-11-27,US,Social,paid,43080,4738,13803,642
O011216,2025-08-02,UAE,Email,paid,63043,0,20173,820
O013101,2025-10-18,UAE,Email,paid,82338,3293,46636,508
O041003,2025-07-03,Germany,Search,paid,45583,5014,14604,2015
O042277,2025-09-09,UK,Search,cancelled,92477,4623,48319,1547
O017423,2025-11-10,US,Search,paid,19663,1376,10789,535
O017390,2025-08-03,US,Search,paid,84340,0,23615,634
O031019,2025-11-11,UAE,Social,cancelled,81075,4053,35430,2015
O002140,2025-11-01,Germany,Search,paid,76971,3078,22906,752
O047309,2025-08-07,Germany,Email,paid,80477,8852,32947,820
O040820,2025-11-16,UAE,Search,paid,43543,870,22616,817
O024463,2025-11-27,UAE,Social,paid,25220,0,13366,1237
O040507,2025-11-12,US,Search,paid,56095,5609,23223,1861
O038892,2025-09-14,UK,Social,paid,22653,2718,9967,877
O025124,2025-12-15,US,Email,paid,37616,4513,11917,356
O027572,2025-09-28,UK,Social,paid,74851,2994,39521,758
